user,event,invited,timestamp,interested,not_interested
527523423,4176588019,0,2012-11-15 15:45:10.898000+00:00,0,0
528218683,2996923495,0,2012-10-30 15:17:06.691000+00:00,0,0
528218683,1203717384,0,2012-10-30 15:17:06.691000+00:00,0,0
528218683,2149464820,0,2012-10-30 15:17:06.691000+00:00,0,0
528218683,1151525474,0,2012-10-30 15:17:06.691000+00:00,0,0
528218683,2007279414,0,2012-10-30 15:17:06.691000+00:00,0,0
528218683,2498491194,0,2012-10-30 15:17:06.691000+00:00,1,0
528289771,3048578499,0,2012-10-29 11:00:48.742000+00:00,0,0
528289771,968459715,0,2012-10-29 11:00:51.792000+00:00,1,0
528289771,2442660214,0,2012-10-29 11:00:52.814000+00:00,1,0
528289771,4244463632,0,2012-10-29 11:00:48.742000+00:00,0,0
528289771,2713053749,0,2012-10-29 11:01:07.004000+00:00,1,0
528289771,952519340,0,2012-10-29 11:00:48.742000+00:00,0,0
528289771,3670952162,0,2012-10-29 11:01:05.981000+00:00,1,0
528289771,2073609284,0,2012-10-29 11:00:48.742000+00:00,1,0
528289771,1844176380,0,2012-10-29 11:00:48.742000+00:00,0,0
528289771,3950589515,0,2012-10-29 11:00:48.742000+00:00,0,0
528810329,1484389215,0,2012-11-11 13:59:28.655000+00:00,0,0
528810329,2208970780,0,2012-11-11 13:59:28.655000+00:00,0,0
528810329,95873940,0,2012-11-11 13:59:28.655000+00:00,0,0
528810329,2660643006,0,2012-11-11 13:59:28.655000+00:00,0,0
528810329,2563575913,0,2012-11-11 13:59:28.655000+00:00,1,0
528810329,3269751206,0,2012-11-11 13:59:28.655000+00:00,0,0
531662584,3172060382,0,2012-11-01 07:47:13.142000+00:00,0,0
531662584,1627365362,0,2012-11-01 07:47:13.142000+00:00,0,0
531662584,3002938758,0,2012-11-01 07:47:13.142000+00:00,0,0
531662584,4277799248,0,2012-11-01 07:47:13.142000+00:00,0,0
531662584,3403115736,1,2012-11-01 07:47:13.142000+00:00,1,0
531662584,2198800626,0,2012-11-01 07:47:13.142000+00:00,0,0
531967718,1532377761,0,2012-10-04 13:39:03.115000+00:00,1,0
531967718,955398943,0,2012-10-04 13:38:58.072000+00:00,1,0
531967718,526347239,0,2012-10-04 13:38:58.072000+00:00,0,0
531967718,2529072432,0,2012-10-04 13:39:05.643000+00:00,1,0
531967718,4135388683,0,2012-10-04 13:38:58.072000+00:00,0,0
531967718,1213078967,0,2012-10-04 13:38:58.072000+00:00,0,0
531967718,3632072502,0,2012-10-04 13:38:58.072000+00:00,0,0
531967718,1390707377,0,2012-10-04 13:38:58.072000+00:00,0,0
532589341,1707508219,0,2012-11-08 11:40:53.767000+00:00,0,0
532589341,1942387906,0,2012-11-08 11:40:53.767000+00:00,0,0
532589341,4141237069,0,2012-11-08 11:40:53.767000+00:00,0,0
532589341,2011797216,0,2012-11-08 11:40:53.767000+00:00,0,0
532589341,3652056284,0,2012-11-08 11:40:53.767000+00:00,0,0
532589341,639862177,0,2012-11-08 11:40:53.767000+00:00,1,0
533051511,268233790,0,2012-10-30 14:25:13.639000+00:00,0,0
533051511,2007279414,0,2012-10-30 14:25:13.639000+00:00,0,0
533051511,2149464820,0,2012-10-30 14:25:13.639000+00:00,0,0
533051511,1203717384,0,2012-10-30 14:25:13.639000+00:00,0,0
533051511,2073609284,0,2012-10-30 14:25:13.639000+00:00,0,0
533051511,952519340,1,2012-10-30 14:25:13.639000+00:00,1,0
533192042,740269154,0,2012-10-28 02:35:32.578000+00:00,1,0
533192042,1597380017,0,2012-10-28 02:35:32.578000+00:00,0,0
533192042,899234866,0,2012-10-28 02:35:32.578000+00:00,0,0
533192042,4203627753,0,2012-10-28 02:35:32.578000+00:00,0,0
533192042,1501679119,0,2012-10-28 02:35:32.578000+00:00,0,0
533192042,2428145712,0,2012-10-28 02:35:32.578000+00:00,0,0
535350558,955398943,0,2012-10-05 00:50:26.840000+00:00,0,0
535350558,3632072502,1,2012-10-05 00:50:26.840000+00:00,1,0
535350558,1390707377,0,2012-10-05 00:50:26.840000+00:00,0,0
535350558,645163767,0,2012-10-05 00:50:26.840000+00:00,0,0
535350558,2529072432,0,2012-10-05 00:50:26.840000+00:00,0,0
535350558,1532377761,0,2012-10-05 00:50:26.840000+00:00,0,0
540360566,918139741,0,2012-10-11 01:51:31.194000+00:00,0,0
540360566,1836221047,0,2012-10-11 01:51:31.194000+00:00,0,0
540360566,2992855622,0,2012-10-11 01:51:31.194000+00:00,0,0
540360566,2776140162,0,2012-10-11 01:51:31.194000+00:00,0,0
540360566,628621130,0,2012-10-11 01:51:31.194000+00:00,1,0
540360566,2206508128,0,2012-10-11 01:51:31.194000+00:00,0,0
544449933,2193311387,0,2012-10-01 01:43:18.723000+00:00,0,0
544449933,3610629096,0,2012-10-01 01:43:18.723000+00:00,0,0
544449933,3949287071,0,2012-10-01 01:43:18.723000+00:00,0,0
544449933,2529072432,0,2012-10-01 01:43:18.723000+00:00,1,0
544449933,3787160036,0,2012-10-01 01:43:18.723000+00:00,0,0
545289514,1781986615,0,2012-10-28 12:01:57.092000+00:00,0,1
545289514,3287340168,0,2012-10-28 12:02:03.216000+00:00,0,1
545289514,1488068589,0,2012-10-28 12:02:04.749000+00:00,0,1
545289514,1983140495,0,2012-10-28 12:06:57.230000+00:00,0,1
545289514,1494513322,0,2012-10-28 12:02:06.495000+00:00,0,1
545289514,703370904,0,2012-10-28 12:06:53.578000+00:00,0,1
545289514,559618821,0,2012-10-28 12:06:56.618000+00:00,0,1
545289514,2902086072,0,2012-10-28 12:07:00.727000+00:00,0,1
545289514,3594729381,0,2012-10-28 12:00:52.104000+00:00,0,0
545289514,2628680570,0,2012-10-28 12:00:52.104000+00:00,0,0
545289514,3814766855,0,2012-10-28 12:01:30.921000+00:00,0,1
545289514,3782182367,0,2012-10-28 12:01:54.055000+00:00,0,1
545289514,3681999765,0,2012-10-28 12:00:52.104000+00:00,0,0
545289514,2828969498,0,2012-10-28 12:00:52.104000+00:00,0,0
545289514,2806565970,0,2012-10-28 12:01:36.500000+00:00,0,1
545289514,1639958590,0,2012-10-28 12:01:38.032000+00:00,0,1
545289514,3941838661,0,2012-10-28 12:00:52.104000+00:00,0,0
545289514,926605391,0,2012-10-28 12:00:52.104000+00:00,1,0
547259551,2245388108,0,2012-11-15 22:18:31.886000+00:00,0,0
547259551,2567184413,0,2012-11-15 22:18:31.886000+00:00,0,0
547259551,3503491290,0,2012-11-15 22:18:31.886000+00:00,1,0
547259551,2232765899,0,2012-11-15 22:18:31.886000+00:00,0,0
547259551,1370289455,0,2012-11-15 22:18:31.886000+00:00,0,0
550625442,1775713481,0,2012-11-17 04:15:54.360000+00:00,0,0
550625442,4059679210,0,2012-11-17 04:15:54.360000+00:00,0,0
550625442,655495803,0,2012-11-17 04:15:54.360000+00:00,0,0
550625442,3344442885,0,2012-11-17 04:15:54.360000+00:00,1,0
550625442,1591959024,0,2012-11-17 04:15:54.360000+00:00,0,0
550625442,4216835023,0,2012-11-17 04:15:54.360000+00:00,0,0
551538117,2153037761,0,2012-10-31 18:34:44.674000+00:00,1,0
551538117,3199229320,0,2012-10-31 18:34:44.674000+00:00,0,0
551538117,3769851269,0,2012-10-31 18:34:44.674000+00:00,0,0
551538117,944656644,0,2012-10-31 18:34:44.674000+00:00,0,0
551538117,87962584,0,2012-10-31 18:34:44.674000+00:00,0,0
551538117,125067550,0,2012-10-31 18:34:44.674000+00:00,0,0
552316934,2860652622,0,2012-10-27 00:26:18.257000+00:00,0,0
552316934,3096327312,0,2012-10-27 00:26:18.257000+00:00,0,0
552316934,141560926,0,2012-10-27 00:26:18.257000+00:00,0,0
552316934,2806565970,0,2012-10-27 00:26:18.257000+00:00,0,0
552316934,2645301517,0,2012-10-27 00:26:18.257000+00:00,0,0
552316934,4198728308,0,2012-10-27 00:26:18.257000+00:00,1,0
555384690,3135799710,1,2012-11-02 05:16:01.588000+00:00,0,0
555384690,3072990888,1,2012-11-02 05:16:01.588000+00:00,0,0
555384690,53057326,0,2012-11-02 05:16:01.588000+00:00,1,0
555384690,4242636115,1,2012-11-02 05:16:01.588000+00:00,0,0
555384690,1658998162,0,2012-11-02 05:16:01.588000+00:00,0,0
555384690,2715083030,1,2012-11-02 05:16:01.588000+00:00,0,0
555631167,3663891590,0,2012-10-26 14:35:18.607000+00:00,0,0
555631167,1711893150,0,2012-10-26 14:35:18.607000+00:00,0,0
555631167,1852872937,0,2012-10-26 14:35:18.607000+00:00,0,0
555631167,3331152144,0,2012-10-26 14:35:18.607000+00:00,0,0
555631167,1426337764,0,2012-10-26 14:35:18.607000+00:00,1,0
564641393,955398943,0,2012-10-31 14:33:12.793000+00:00,0,0
564641393,239276659,0,2012-10-31 14:33:12.793000+00:00,0,0
564641393,1926323783,0,2012-10-31 14:33:12.793000+00:00,0,0
564641393,1600413013,0,2012-10-31 14:33:12.793000+00:00,0,0
564641393,2802832059,0,2012-10-31 14:33:23.356000+00:00,1,0
564641393,200612846,0,2012-10-31 14:33:51.517000+00:00,1,0
564641393,1332759137,0,2012-10-31 14:33:12.793000+00:00,1,0
567534910,302183362,0,2012-10-22 11:50:27.489000+00:00,0,0
567534910,2039242702,1,2012-10-22 11:50:27.489000+00:00,0,0
567534910,1630243360,0,2012-10-22 11:50:27.489000+00:00,0,0
567534910,2371040033,0,2012-10-22 11:50:27.489000+00:00,0,0
567534910,1829315138,0,2012-10-22 11:50:27.489000+00:00,0,0
567534910,1757362667,0,2012-10-22 11:50:27.489000+00:00,1,0
567820539,3701547443,0,2012-08-16 12:09:19.487000+00:00,0,0
567820539,3036332464,0,2012-07-19 13:12:15.104000+00:00,0,0
